,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
82,Tender,PUB000ETT19300178 / WRN/33190019,Proposed Sewers along Thomson-East Coast Line and North-South Expressway - Contract 2,Public Utilities Board,02 Aug 2019 09:35AM,Construction ⇒ Civil Engineering,29 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
83,Quotation,BCA000ETQ19300046 / ORE201907230081,Proposed new composite decking and railing at Sensory Garden in BCA Academy,Building and Construction Authority,02 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,22 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
84,Quotation,SPC000ETQ19300064,FIT OUT OF ACTIVESG GYM AT FERNVALE SQUARE,Singapore Sports Council,01 Aug 2019 10:50PM,Construction ⇒ Interior Decoration,13 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
85,Quotation,MOESCHETQ19303555,"TO DESIGN AND BUILD AN ART LEARNING SPACE IN SCHOOL, GEYLANG METHODIST SCHOOL (PRIMARY)",Ministry of Education - Schools,01 Aug 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,21 Aug 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
86,Quotation,STB000ETQ19300040 / STB/AE/19-20/Q24,Quotation for Rectification Works at Singapore Tourism Baord Gallery,Singapore Tourism Board,01 Aug 2019 12:05AM,Construction ⇒ Interior Decoration,15 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
87,Qualification,LTA000EPQ19300012 / 2PQ-JRL J109,Tender cum Pre-Qualification for Design and Build Civil Contract J109 for the Jurong Region Line (JRL),Land Transport Authority,31 Jul 2019 06:50PM,Construction ⇒ Civil Engineering,26 Aug 2019 04:00PM,CLOSED,"Pre-qualification for the Civil Contract was advertised in GeBIZ on 15 May 2018 and all applicants have been informed of their applications. Tender Documents will ONLY be issued to the pre-qualified tenderers on 31 July 2019 for Civil Contract J109. Those who wish to be considered for the 2nd (final) pre-qualification for the Civil Contract J109 will need to submit their pre-qualification applications as detailed in the PQ brochure. Interested applicants are required to submit previous and current records of similar work done, details of key personnel with relevant experience in design and/or construction, equipment to be deployed, safety records and financial capacity for LTA's consideration. Applicants should demonstrate that they have the necessary: (a) Technical expertise, project management capability and physical resources in the design and construction of similar works; and (b) Financial capacity to undertake and sustain a multi-million dollar project in Singapore.",,Not Applicable,Not Applicable
88,Tender,MOE000ETT19300080 / SCD/non-GOVT/BLDG/2019/JUL/T2,Proposed Addition & Alteration To Existing St Margaret's Primary School on Lot Ts19-00646M At 99 Wilkie Road,Ministry of Education,31 Jul 2019 06:35PM,Construction ⇒ Civil Engineering,16 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
89,Quotation,MAS000ETQ19300067 / CSD/Q/19/RENO/LSH/038,INVITATION TO QUOTE FOR RENOVATION PROJECT AT MAS BUILDING (CSD/Q/19/RENO/LSH/038),Monetary Authority of Singapore,31 Jul 2019 06:20PM,Construction ⇒ Renovation Supplies & Services,16 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
90,Tender,HDB000ETT19300184 / HMG-TN190052,Improvement Works at Surface Car Park at Blk 133 Cashew Road,Housing and Development Board,31 Jul 2019 04:20PM,Construction ⇒ Civil Engineering,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
91,Quotation,MOESCHETQ19303533,"PROVISION OF RENOVATION WORKS TO CONFERENCE ROOM, GEYLANG METHODIST SCHOOL (PRIMARY)",Ministry of Education - Schools,31 Jul 2019 04:05PM,Construction ⇒ Renovation Supplies & Services,16 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
92,Quotation,NLB000ETQ19300065,"Invitation to quote for replacement of fire rated doors for the National Library Board, Singapore",National Library Board,31 Jul 2019 09:20AM,Construction ⇒ Renovation Supplies & Services,13 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
93,Quotation,SPC000ETQ19300065,Supply and Installation of Air Conditioning for ActiveSG Gym at Fernvale Square,Singapore Sports Council,31 Jul 2019 12:05AM,Construction ⇒ Others,08 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
94,Quotation,TPO000ETQ19300198 / EFM/19/BT01/LP,Invitation to Quote for the Additions & Alterations to 2nd Storey of Existing Block 1A Student Lounge,Temasek Polytechnic,30 Jul 2019 04:20PM,Construction ⇒ Renovation Supplies & Services,14 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
95,Tender,MOE000ETT19300079 / MOE/SCD/FM/2019/JUL/T5,Demolition of Former Macpherson Secondary School at 121 Circuit Road S 379499,Ministry of Education,30 Jul 2019 10:35AM,Construction ⇒ Demolition,15 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
96,Tender,CPF000ETT19300015 / CPF/PYD/2019/TDR/029,Master Contract for Ad-hoc Alteration and Addition Works,Central Provident Fund Board,30 Jul 2019 10:05AM,Construction ⇒ General Building & Minor Construction Works,15 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
97,Tender,FINCEDETT19300011 / ALB/13/2019,INVITATION TO TENDER FOR REINSTATEMENT WORKS FOR SINGAPORE CUSTOMS’ PREMISES AT KEPPEL ROAD,Ministry of Finance - Singapore Customs,29 Jul 2019 07:20PM,Construction ⇒ Repairs & Redecoration,28 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
98,Quotation,TPO000ETQ19300190 / EFM/19/AT01/LP,Invitation to Quote for the Additions & Alterations to 2nd Storey of Existing Block 4 Flavours Foodcourt,Temasek Polytechnic,29 Jul 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,14 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
99,Tender,PMOEDEETT19300007 / PMOEDEETT19300007,Invitation To Tender For NSC For The Supply & Installation of Build-in Fitments and System Furniture To Proposed A&A Works of Existing Buildings,Prime Minister's Office-Elections Department,26 Jul 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,19 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
100,Quotation,MOESCHETQ19303479,To construct a heritage wall and a alumni gallery wall,Ministry of Education - Schools,26 Jul 2019 04:20PM,Construction ⇒ Renovation Supplies & Services,14 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
101,Quotation,PUB000ETQ19300207 / 44190264,44190264/CWS/SOIL INVESTIGATION WORKS FOR FOR ABC WATERS PROJECT AT GEYLANG RIVER (MOUNTBATTEN ROAD TO SINGAPORE INDOOR STADIUM),Public Utilities Board,26 Jul 2019 12:05PM,Construction ⇒ Others,06 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
102,Quotation,MOESCHETQ19303471,"Installation of Wall Mounted Inverter Aircons at Art Studio, Anderson Serangoon JC",Ministry of Education - Schools,26 Jul 2019 11:05AM,Construction ⇒ Renovation Supplies & Services,05 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
103,Tender,ITE000ETT19300035 / ITE000/19026/CE,Enhancement of Wall Finish at Function Hall at ITE College East,Institute of Technical Education,26 Jul 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,22 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
104,Tender,NPO000ETT19300030 / NP/DEO/15C/19,"(Tender Ref: NP/DEO/15C/19, GRF No.: DEO/19/0006) Renovation of Office of Service-Learning (OSL) Office at Blk 5 Level 1",Ngee Ann Polytechnic,25 Jul 2019 07:50PM,Construction ⇒ Renovation Supplies & Services,22 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
105,Quotation,TRADOSETQ19300010,Provision of Reinstatement Services,Ministry of Trade & Industry-Department of Statistics,25 Jul 2019 06:05PM,Construction ⇒ Others,08 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
106,Quotation,MOE000ETQ19300310 / MOE/SCD/GOVT/BLDG/2019/JUL/Q11,SOIL INVESTIGATION WORK & GEOTECHNICAL ENGINEERING SERVICES FOR PROPOSED NEW SPECIAL EDUCATION CAMPUS AT EXISTING EAST VIEW PRI SCH,Ministry of Education,25 Jul 2019 03:05PM,Construction ⇒ Soil Investigation & Stabilization,06 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
107,Quotation,SPO000ETQ19300279,RO19/ED/0100 Asbestos removal at Library Annex,Singapore Polytechnic,25 Jul 2019 12:50PM,Construction ⇒ Renovation Supplies & Services,02 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
108,Quotation,ITE000ETQ19300190,C18465_CRR: ID Works at EIC To design and install partitions at EIC,Institute of Technical Education,25 Jul 2019 09:35AM,Construction ⇒ Renovation Supplies & Services,07 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
109,Quotation,MOESCHETQ19303452,"Rulang Primary School is looking for a vendor to design, supply and install wall mural(s) and display cabinets for Heritage Gallery - 2019",Ministry of Education - Schools,24 Jul 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,06 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
110,Tender,NPB000ETT19300072 / NPARKS/N/26/2019,TERM CONTRACT FOR SOIL INVESTIGATION AND TRIAL HOLES SERVICES FOR A PERIOD OF THREE (3) YEARS,National Parks Board,24 Jul 2019 03:20PM,Construction ⇒ Soil Investigation & Stabilization,19 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
111,Quotation,MOESCHETQ19303428,"Design, Supply and Construct a Makerspace ""THE ANDERSON SANDBOX"" at Anderson Primary School",Ministry of Education - Schools,24 Jul 2019 01:50PM,Construction ⇒ Interior Decoration,14 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
112,Quotation,MAS000ETQ19300066 / CSD/Q/19/LIGHTWEIGHT CANOPY/FK,INVITATION TO QUOTE FOR THE PROPOSED ERECTION OF LIGHTWEIGHT CANOPY ABOVE LOADING/UNLOADING BAY TO MASB,Monetary Authority of Singapore,24 Jul 2019 11:35AM,Construction ⇒ General Building & Minor Construction Works,07 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
113,Tender,HPB000ETT19300031 / FNAT19/19,FNAT19/19 Renovation For Temporary Work Spaces and Gym at Part of HPB Building Basement and Level 7,Health Promotion Board,23 Jul 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,27 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
114,Quotation,SPO000ETQ19300271,RO19/ED/0090 Digital signage system,Singapore Polytechnic,23 Jul 2019 04:20PM,Construction ⇒ Signages,13 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
115,Quotation,MOESCHETQ19303422,To design a new creative concept for existing Library space & design of the Heritage Corner (Ngee Ann Primary School),Ministry of Education - Schools,23 Jul 2019 04:05PM,Construction ⇒ Renovation Supplies & Services,13 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
116,Quotation,MOESCHETQ19303407 / MOE/SCD/non-GOVT/BLDG/2019/Jul,Registered Inspector (Mechanical & Electrical) Services For Proposed Upgrading of Nan Hua Primary School at 30 Jalan Lempeng Singapore 128806,Ministry of Education - Schools,23 Jul 2019 02:20PM,Construction ⇒ Civil Engineering,01 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
117,Quotation,MOESCHETQ19303380,To install Fixtures and Fittings in After-School Engagement (ASE) Room 2019,Ministry of Education - Schools,22 Jul 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,30 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
118,Tender,NEA000ETT19300053,Ground Instrumentation and Monitoring for Integrated Waste Management Facility (IWMF) Construction Works (Lot 05036W Mk07),National Environment Agency,22 Jul 2019 04:20PM,Construction ⇒ Soil Investigation & Stabilization,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
119,Tender,JTC000ETT19300104 / JTC19T0048,INFRASTRUCTURE PROJECTS INCLUDING ROAD WIDENING AT ANG MO KIO INDUSTRIAL PARK 3,Jurong Town Corporation,22 Jul 2019 02:50PM,Construction ⇒ Civil Engineering,04 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
120,Quotation,PUB000ETQ19300200 / 44190249,44190249/CWS/Topographic and Hydrographic Survey for Proposed Improvement to Benoi Road Outlet Drain,Public Utilities Board,22 Jul 2019 02:50PM,Construction ⇒ Civil Engineering,01 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
121,Quotation,MOESCHETQ19303377,"Renovation of General Office, HOD Room and Conference Room - Ngee Ann Primary School.",Ministry of Education - Schools,22 Jul 2019 01:20PM,Construction ⇒ Renovation Supplies & Services,15 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
122,Quotation,MOESCHETQ19303369,"Conceptualisation, design and installation of wall panels and stickers display of the School's Positive Education framework - CHAMPS",Ministry of Education - Schools,22 Jul 2019 10:35AM,Construction ⇒ Signages,08 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
123,Quotation,MOESCHETQ19303367,FHSS - DESIGN AND RENOVATION OF SCHOOL LIBRARY,Ministry of Education - Schools,22 Jul 2019 10:05AM,Construction ⇒ Renovation Supplies & Services,13 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
124,Quotation,MOESCHETQ19303365,Improvement works to existing Movers & Shakers Gallery in Evergreen Secondary School,Ministry of Education - Schools,22 Jul 2019 09:35AM,Construction ⇒ Renovation Supplies & Services,13 Aug 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
125,Quotation,NLB000ETQ19300062,"ITQ FOR THE PROVISION OF CURATORIAL, DESIGN & FABRCIATION SERVICES FOR A HERITAGE EXHIBITION/ DISCUSSION AREA FOR NLB",National Library Board,19 Jul 2019 03:20PM,Construction ⇒ Interior Decoration,01 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
126,Quotation,MOESCHETQ19303320,"Quotation To Design, Supply, Install And Renovate Ngee Ann Secondary School's ICT Studio",Ministry of Education - Schools,19 Jul 2019 03:20PM,Construction ⇒ Renovation Supplies & Services,29 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
127,Tender,MOE000ETT19300076 / MOE/SCD/GOVT/BLDG/2019/JUL/T7,"ADDITIONS AND ALTERATIONS TO EXISTING FUCHUN PRIMARY SCHOOL, JUNYUAN PRIMARY SCHOOL, NEW TOWN PRIMARY SCHOOL AND NORTH VIEW PRIMARY SCHOOL",Ministry of Education,19 Jul 2019 12:35PM,Construction ⇒ General Building & Minor Construction Works,26 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
128,Tender,HDB000ETT19300170 / BIG-TN190038,Improvement Works to Void Deck Columns of Residential Buildings using Polymer Fibre Wrapping (Batch 12),Housing and Development Board,19 Jul 2019 11:35AM,Construction ⇒ Others,14 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
129,Quotation,MOESCHETQ19303315,Shuqun Primary School invites vendor for the quotation for redesign & renovation of existing school media library,Ministry of Education - Schools,19 Jul 2019 08:05AM,Construction ⇒ Renovation Supplies & Services,05 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
130,Tender,JTC000ETT19300102 / JTC19T0048,INFRASTRUCTURE PROJECTS INCLUDING ROAD WIDENING AT ANG MO KIO INDUSTRIAL PARK 3,Jurong Town Corporation,18 Jul 2019 10:35AM,Construction ⇒ Civil Engineering,07 Aug 2019 04:00PM,CANCELLED,Not Applicable,,Not Applicable,Not Applicable
131,Quotation,MOE000ETQ19300313 / MOE/SCD/GOVT/BLDG/2019/JUL/Q12,"Provision for the design, supply and installation of Outdoor Experimental Learning (OEL) at Stamford Primary School.",Ministry of Education,18 Jul 2019 10:20AM,Construction ⇒ Renovation Supplies & Services,08 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
132,Tender,MOMHQ0ETT19300003,INVITATION TO TENDER – TENDER FOR MULTI-DISCIPLINARY CONSULTANCY SERVICES TO CONDUCT FEASIBILITY STUDIES FOR MINISTRY OF MANPOWER (MOM) PROJECT,Ministry of Manpower-Ministry Headquarter,18 Jul 2019 12:05AM,Construction ⇒ Others,13 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
133,Tender,ITE000ETT19300033 / ITE000/19025/CE,Design & Build Works to Nursing Training Facilities at ITE College East,Institute of Technical Education,17 Jul 2019 05:35PM,Construction ⇒ General Building & Minor Construction Works,20 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
134,Quotation,BCA000ETQ19300043 / ORE201907030001,Soil investigation for the proposed RMC development at Jalan Piring,Building and Construction Authority,17 Jul 2019 05:35PM,Construction ⇒ Soil Investigation & Stabilization,25 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
135,Tender,PAS000ETT19300123 / PA-ITT-2019-0102,Proposed Cyclical Maintenance Programme to Nanyang Community Club,People's Association,17 Jul 2019 09:50AM,Construction ⇒ General Building & Minor Construction Works,13 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
136,Tender,SPO000ETT19300064 / SP/ED/19011/GBC,RO19/ED/0083 Proposed additions & alterations to the existing Poly Marina at 50 West Coast Road,Singapore Polytechnic,17 Jul 2019 09:35AM,Construction ⇒ Civil Engineering,20 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
137,Quotation,CCYNYCETQ19300037 / NYC/ITQ-2019/35,INVITATION TO QUOTE FOR THE OFFICE RE-CONFIGURATION WORKS AT THE RED BOX AT NATIONAL YOUTH COUNCIL PREMISES,"Ministry of Culture, Community and Youth - National Youth Council",16 Jul 2019 05:05PM,Construction ⇒ General Building & Minor Construction Works,26 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
138,Tender,PAS000ETT19300122 / PA-ITT-2019-0100,"Proposed Cyclical Maintenance Programme to Pioneer Zone '11 RN, Punggol Coral and Punggol Oasis RC",People's Association,16 Jul 2019 03:35PM,Construction ⇒ General Building & Minor Construction Works,05 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
139,Quotation,MOESCHETQ19303294,To set up an innovator's hub to showcase students' work and allow students to use the hub as a learning space.,Ministry of Education - Schools,16 Jul 2019 01:35PM,Construction ⇒ Renovation Supplies & Services,31 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
140,Quotation,MOESCHETQ19303253,DESIGN AND FABRICATE CABINET FOR STUDENT HUB & HOD ROOM,Ministry of Education - Schools,16 Jul 2019 10:20AM,Construction ⇒ Renovation Supplies & Services,24 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
141,Quotation,MOESCHETQ19303285,South View Primary School: Designing and Retrofitting of Student Activity Hub abd Library Resource Room (SV Star Studio),Ministry of Education - Schools,15 Jul 2019 06:20PM,Construction ⇒ Renovation Supplies & Services,30 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
142,Quotation,MOESCHETQ19303283,"South View Primary School: Designing, painting and redecorating of internal and external walls and facade of multiple resource rooms.",Ministry of Education - Schools,15 Jul 2019 06:20PM,Construction ⇒ Repairs & Redecoration,30 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
143,Quotation,PUB000ETQ19300195 / 44190232,44190232/WRP/Renovation Works For Conference Room and Gym Room At Kranji Water Reclamation Plant.,Public Utilities Board,15 Jul 2019 02:20PM,Construction ⇒ General Building & Minor Construction Works,25 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
144,Tender,LTA000ETT19300127 / CR120,Supply of Earth Pressure Balance Machines for Cross Island Line 1,Land Transport Authority,15 Jul 2019 02:05PM,Construction ⇒ Others,22 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
145,Tender,NHB000ETT19300018 / NHB_TEN/15/2019,ITT FOR PROPOSED M&E RETROFITTING WORKS TO HERITAGE CONSERVATION CENTRE AND SUN YAT SEN NANYANG MEMORIAL HALL,National Heritage Board,15 Jul 2019 12:20PM,Construction ⇒ Others,27 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
146,Quotation,NYP000ETQ19300153,"Provision of Digital Signage, Content Management System and Interactive Digital Flipchart to NYP, School of IT",Nanyang Polytechnic,15 Jul 2019 09:20AM,Construction ⇒ Signages,24 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
147,Qualification,JTC000EPQ19300003 / JTC19T0068,Pre-Qualification for Proposed Rehabilitation of the Existing Damaged Sewer and Ancillary Works at Banyan Ave,Jurong Town Corporation,15 Jul 2019 12:05AM,Construction ⇒ Others,29 Jul 2019 04:00PM,CLOSED,CW02 - Civil Engineering BCA C2,,Not Applicable,Not Applicable
148,Tender,NST000ETT19300084 / T/SICS/004/FY19,Addition And Alteration Works For The Implementation Of Food Grade Laboratory In Brenner Centre For Molecular Medicine (BCMM) For SICS,"Agency for Science, Technology and Research",12 Jul 2019 04:35PM,Construction ⇒ Renovation Supplies & Services,02 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
149,Qualification,LTA000EPQ19300011 / PQ-J120,Pre-Qualification for Design and Construction of Integrated Transport Hub at Jurong East,Land Transport Authority,12 Jul 2019 03:50PM,Construction ⇒ General Building & Minor Construction Works,26 Aug 2019 04:00PM,CLOSED,"(1) Applications for this Pre-Qualification (PQ) are invited from building contractors with proven expertise and experience in the design and construction of high-rise buildings next to existing railway infrastructure. The building contractors (and their appointed consultants) shall also have experience in the design and construction of railway viaducts, and basements.
 (2) Applicants shall note that registration with the Building and Construction Authority (BCA) under CW01 ""General Building"" workhead in financial category A1 OR Limited A1 is the minimum qualifying criteria for this PQ exercise.
 (3) Please refer to the PQ Notice and Brochure for further details.",,Not Applicable,Not Applicable
150,Quotation,PAS000ETQ19300188 / PA-ITQ-2019-0187,SOIL INVESTIGATION FOR LINEAR GREEN PARK AT PUNGGOL DRIVE,People's Association,12 Jul 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,22 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
151,Tender,NPB000ETT19300066 / NParks/N/42/2019,TERM CONTRACT FOR OFFICE RENOVATION AND FURNITURE WORKS FOR THE NPARKS FOR A PERIOD OF THREE YEARS,National Parks Board,11 Jul 2019 06:05PM,Construction ⇒ Renovation Supplies & Services,05 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
152,Tender,SFA000ETT19400015 / SFA000/(P)012(19),Refurbishment to Building Exterior at National Centre for Food Science,Singapore Food Agency,11 Jul 2019 04:35PM,Construction ⇒ Repairs & Redecoration,07 Aug 2019 04:00PM,AWARDED,Not Applicable,,,
153,Quotation,PAS000ETQ19300182 / PA-ITQ-2019-0188,PROPOSED REMEDIAL WORKS TO EGRESS AT CAIRNHILL COMMUNITY CLUB AT 1 ANTHONY ROAD,People's Association,11 Jul 2019 02:35PM,Construction ⇒ General Building & Minor Construction Works,24 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
154,Tender,RPO000ETT19300030,Tender for Proposed Renovation Works to 1st and 2nd Storey of W1 Forum at Republic Polytechnic for OES,Republic Polytechnic,10 Jul 2019 06:05PM,Construction ⇒ Renovation Supplies & Services,05 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
155,Quotation,MOESCHETQ19303227 / SPS/006/2019,DESIGN & RENOVATION OF SCHOOL LIBRARY AT ST PATRICK'S SCHOOL,Ministry of Education - Schools,10 Jul 2019 04:20PM,Construction ⇒ Renovation Supplies & Services,31 Jul 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
156,Quotation,PAS000ETQ19300181 / PA-ITQ-2019-0177,"PROVISION OF ARTIST, EVENT FACILITATORS AND 10CM X 10CM COLOURED PLYWOOD TILES FOR THE COMMUNITY ENGAGEMENT PROGRAMME (CEP) OF CHINGAY 2020",People's Association,10 Jul 2019 11:50AM,Construction ⇒ Renovation Supplies & Services,18 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
157,Quotation,PAS000ETQ19300180 / PA-ITQ-2019-0183,PROPOSED CYCLICAL MAINTENANCE PROGRAMME TO KOLAM AYER SCC AND TECK GHEE ZONE J SCC (PHASE 2),People's Association,09 Jul 2019 04:35PM,Construction ⇒ General Building & Minor Construction Works,23 Jul 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
158,Quotation,URA000ETQ19300026 / URA/Q/19/019,"Quotation For The Fabrication, Delivery & Installation Of Public ""Pop-Ups"" And Sign Posts",Urban Redevelopment Authority,08 Jul 2019 05:50PM,Construction ⇒ Others,24 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
159,Tender,SPC000ETT19300035,SUPPLY AND INSTALL FIRE-RATED ROLLER SHUTTERS INCLUDING MINOR BUILDING WORKS FOR THE REGULARIZATION OF THE BOAT SHED AT SINGAPORE ROWING CENTRE (SRC),Singapore Sports Council,08 Jul 2019 05:05PM,Construction ⇒ General Building & Minor Construction Works,29 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
160,Tender,CDVHQ0ETT19300015 / PR201903-062,Invitation to Tender for the Proposed Additions and Alterations Works to Day Activity Centre (DAC) at Blk 82 Circuit Road,Ministry of Social and Family Development - Ministry Headquarter,08 Jul 2019 02:50PM,Construction ⇒ General Building & Minor Construction Works,31 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
161,Quotation,PUB000ETQ19300188 / 44190230,"44190230/WSP/SUPPLY, DELIVERY AND INSTALLATION OF SIGNAGE ON BUILDING FACADE.",Public Utilities Board,05 Jul 2019 03:20PM,Construction ⇒ Signages,11 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
162,Quotation,HDB000ETQ19300196 / PLG-QN190028,QUOTATION FOR BLOCK WORKS AT HDB HUB,Housing and Development Board,05 Jul 2019 02:50PM,Construction ⇒ General Building & Minor Construction Works,18 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
163,Tender,MOE000ETT19300072 / MOE/SCD/GOVT/BLDG/2019/JUNE/T6,PROPOSED ADDITIONS & ALTERATIONS TO EXISTING GONGSHANG PRIMARY SCHOOL AND JURONG PRIMARY SCHOOL,Ministry of Education,05 Jul 2019 09:35AM,Construction ⇒ General Building & Minor Construction Works,15 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
164,Tender,PUB000ETT19300154 / CW-DD/33190158,Improvement to Roadside Drains and Watermain Replacement Works under Estate Upgrading Programme Batch 9 - Contract 6 (Happy Gardens Estate),Public Utilities Board,05 Jul 2019 12:05AM,Construction ⇒ Civil Engineering,01 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
165,Tender,PUB000ETT19300152 / WRN/33190144,Proposed Sewers in Changi East Area (Schedule II) Contract 1,Public Utilities Board,05 Jul 2019 12:05AM,Construction ⇒ Civil Engineering,01 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
166,Tender,NPB000ETT19300061 / NPARKS/N/20/2019,"TERM CONTRACT FOR DEVELOPMENT, UPGRADING AND MAINTENANCE WORKS FOR SBG, JLG AND FORT CANNING PARK & ISTANA",National Parks Board,05 Jul 2019 12:05AM,Construction ⇒ Civil Engineering,30 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
